,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1440,1762,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/24/2017 1:00,1/25/2017 1:00,23,3400.0,0.25633293100000004,0
1441,1763,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/25/2017 1:00,1/26/2017 1:00,24,3161.0,0.23831423399999999,0
1442,1764,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/26/2017 1:00,1/27/2017 1:00,25,4077.0,0.307373341,0
1443,1765,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/27/2017 1:00,1/28/2017 1:00,26,6714.0,0.5061821470000001,1
1444,1766,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/28/2017 1:00,1/29/2017 1:00,27,3060.0,0.230699638,0
1445,1767,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/29/2017 1:00,1/30/2017 1:00,28,2175.0,0.163977684,0
1446,1768,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/30/2017 1:00,1/31/2017 1:00,29,4162.0,0.313781665,0
1447,1769,BHX,66,MEA,walk_distance,1/2/2017 1:00,1/31/2017 1:00,2/1/2017 1:00,30,6825.0,0.514550663,1
1448,1770,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/1/2017 1:00,2/2/2017 1:00,31,3740.0,0.281966224,0
1449,1771,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/2/2017 1:00,2/3/2017 1:00,32,1688.0,0.127261761,0
1450,1772,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/3/2017 1:00,2/4/2017 1:00,33,3663.0,0.276161037,0
1451,1773,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/4/2017 1:00,2/5/2017 1:00,34,2278.0,0.17174306399999997,0
1452,1774,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/5/2017 1:00,2/6/2017 1:00,35,4363.0,0.328935464,0
1453,1775,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/6/2017 1:00,2/7/2017 1:00,36,4954.0,0.373492159,0
1454,1776,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/7/2017 1:00,2/8/2017 1:00,37,4448.0,0.33534378800000003,0
1455,1777,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/8/2017 1:00,2/9/2017 1:00,38,5226.0,0.393998794,0
1456,1778,BHX,66,MEA,walk_distance,1/2/2017 1:00,2/9/2017 1:00,2/10/2017 1:00,39,3528.0,0.26598311199999997,0
