,user_in_role_id,interval_end,physicalactivity_calories,physicalactivity_intense_time,physicalactivity_moderate_time,physicalactivity_soft_time,cluster,max_probability
90,68,2017-04-10 01:00:00,0.852895871,0.0,0.088235294,0.252984694,2,0.9998767226425066
91,68,2017-04-11 01:00:00,0.780273997,0.0,0.029411765,0.138075895,1,0.9147917614431366
92,68,2017-04-12 01:00:00,0.843988361,0.0,0.19117647100000001,0.22796423,2,0.9999986435568748
93,68,2017-04-13 01:00:00,0.836174757,0.0,0.088235294,0.23443557199999998,2,1.0
94,68,2017-04-14 01:00:00,0.845327837,0.25,0.220588235,0.23682950600000002,3,1.0
95,68,2017-04-15 01:00:00,0.8341357779999999,0.0,0.088235294,0.20756174,2,0.9999880409626494
96,68,2017-04-16 01:00:00,0.7597353790000001,0.0,0.029411765,0.068574606,1,0.9999192007783513
97,68,2017-04-17 01:00:00,0.771969252,0.0,0.029411765,0.088961651,1,0.9996034993873476
98,68,2017-04-18 01:00:00,0.9208370229999999,0.0,0.117647059,0.32433935199999997,2,0.999994147122227
99,68,2017-04-19 01:00:00,0.8773338490000001,0.0,0.176470588,0.237231069,2,0.9998735178738442
101,68,2017-04-20 01:00:00,0.779931687,0.0,0.029411765,0.128809057,1,0.9906901803940468
102,68,2017-04-21 01:00:00,0.823308355,0.0,0.014705882,0.212210604,1,0.9143035697884567
103,68,2017-04-22 01:00:00,0.803677603,0.0,0.014705882,0.17418567699999998,1,0.9120821007908826
104,68,2017-04-23 01:00:00,0.836762638,0.0,0.044117647,0.20943055300000002,2,0.9741980919472952
105,68,2017-04-24 01:00:00,0.834083687,0.0,0.058823529000000006,0.19645697899999998,2,0.9995866544074391
106,68,2017-04-25 01:00:00,0.8541534890000001,0.0,0.220588235,0.20383956,2,0.9999847779830681
107,68,2017-04-26 01:00:00,0.873255892,0.0,0.235294118,0.24464454,2,0.9999633621534693
108,68,2017-04-27 01:00:00,0.843675817,0.0,0.20588235300000002,0.20943055300000002,2,0.9999857840806294
109,68,2017-04-28 01:00:00,0.876225062,0.0,0.235294118,0.24836672,2,0.999956124590962
110,68,2017-04-29 01:00:00,0.845305512,0.0,0.176470588,0.20387045,2,0.9999863312040953
112,68,2017-04-30 01:00:00,0.860515996,0.0,0.073529412,0.22424205,2,0.9999728416789759
119,68,2017-05-01 01:00:00,0.829410408,0.0,0.073529412,0.195530295,2,0.9996291909847018
130,68,2017-05-02 01:00:00,0.776620207,0.0,0.014705882,0.12324895400000001,1,0.9854416390812983
141,68,2017-05-03 01:00:00,0.866298063,0.0,0.279411765,0.23537770100000002,2,0.9999995200447543
144,68,2017-05-04 01:00:00,0.866737113,0.0,0.25,0.222388682,2,0.9999763770625053
145,68,2017-05-05 01:00:00,0.874409329,0.0,0.33823529399999996,0.22055075899999999,2,0.9999368929609261
146,68,2017-05-06 01:00:00,0.872072689,0.0,0.41176470600000004,0.214990656,2,0.9993570444115042
147,68,2017-05-07 01:00:00,0.764230062,0.0,0.0,0.101935225,1,0.9997926607566376
148,68,2017-05-08 01:00:00,0.825339892,0.0,0.014705882,0.20665050100000001,1,0.9455159813266986
149,68,2017-05-09 01:00:00,0.7778182929999999,0.0,0.014705882,0.156594128,1,0.9995482381082739
120,68,2017-05-10 01:00:00,0.762585485,0.0,0.0,0.101008541,1,0.9999931472305588
121,68,2017-05-11 01:00:00,0.782685052,0.0,0.044117647,0.12417563699999999,1,0.9981248322933527
122,68,2017-05-12 01:00:00,0.793021335,0.0,0.014705882,0.180703353,1,0.9980315891974723
123,68,2017-05-13 01:00:00,0.79104933,0.0,0.0,0.19089687600000002,1,0.9984086457554567
124,68,2017-05-14 01:00:00,0.7695135470000001,0.0,0.0,0.12326439800000001,1,0.9999636219752509
125,68,2017-05-15 01:00:00,0.786837425,0.0,0.014705882,0.164949727,1,0.9897077295399221
126,68,2017-05-16 01:00:00,0.839516003,0.0,0.27965686300000003,0.18346796,2,0.9999997699376573
127,68,2017-05-17 01:00:00,0.849123016,0.0,0.20588235300000002,0.239084436,2,0.999980819735809
128,68,2017-05-18 01:00:00,0.8327144459999999,0.0,0.25,0.18533677199999998,2,1.0
129,68,2017-05-19 01:00:00,0.41234251899999996,0.0,0.279411765,0.088961651,3,1.0
