,user_in_role_id,interval_end,sleep_awake_time,sleep_deep_time,sleep_light_time,sleep_tosleep_time,sleep_wakeup_num,cluster,max_probability
79,68,2017-05-01 11:15:00,0.281690141,0.5,0.45161290299999995,0.0,0.28571428600000004,3,0.9845919908678944
87,68,2017-05-02 07:47:00,0.169014085,0.098684211,0.008064515999999999,0.0,0.14285714300000002,1,0.744650877632009
96,68,2017-05-03 07:48:00,0.14084507,0.12828947400000001,0.427419355,0.0,0.28571428600000004,3,0.9727934064685295
98,68,2017-05-04 07:45:00,0.38028169,0.41776315799999997,0.419354839,0.095238095,0.7142857140000001,0,0.9995407461729005
99,68,2017-05-05 07:53:00,0.29577464800000003,0.095394737,0.47580645200000005,0.095238095,0.428571429,0,0.9997673645649888
100,68,2017-05-06 11:11:00,0.14084507,0.325657895,0.408602151,0.0,0.28571428600000004,3,0.9989865854151752
101,68,2017-05-07 11:23:00,0.169014085,0.22368421100000002,0.629032258,0.0,0.428571429,3,0.9999259583672142
102,68,2017-05-09 07:40:00,0.352112676,0.25328947399999996,0.373655914,0.23809523800000001,0.428571429,2,0.9999999999403144
80,68,2017-05-12 07:37:00,0.521126761,0.269736842,0.247311828,0.9523809520000001,0.28571428600000004,2,0.9999999996160227
81,68,2017-05-13 11:08:00,0.366197183,0.164473684,0.51344086,0.0,0.428571429,3,0.9783241793498839
82,68,2017-05-14 12:15:00,0.61971831,0.269736842,0.532258065,0.23809523800000001,0.571428571,0,0.9934099392517247
83,68,2017-05-16 07:36:00,0.042253520999999995,0.08552631599999999,0.12096774199999999,0.14285714300000002,0.0,1,0.9999973038167663
84,68,2017-05-17 07:51:00,0.014084507,0.029605263,0.18548387100000002,0.0,0.14285714300000002,1,0.9932136880070492
85,68,2017-05-18 07:41:00,0.39436619700000003,0.180921053,0.72311828,0.19047619,0.571428571,0,0.9999994852155015
86,68,2017-05-19 07:41:00,0.408450704,0.384868421,0.575268817,0.380952381,0.428571429,0,0.9999999486345259
88,68,2017-05-20 11:06:00,0.366197183,0.30268640399999996,0.513396057,0.333333333,0.28571428600000004,0,0.9999999642895439
89,68,2017-05-21 10:56:00,0.028169014,0.1875,0.7284946240000001,0.0,0.14285714300000002,3,0.9981698436511146
90,68,2017-05-23 07:41:00,0.21126760600000002,0.10526315800000001,0.48387096799999996,0.0,0.428571429,3,0.9986473699912413
91,68,2017-05-24 07:40:00,0.014084507,0.039473684,0.327956989,0.0,0.14285714300000002,3,0.9070690343234505
92,68,2017-05-26 07:47:00,0.22535211300000002,0.15460526300000002,0.293010753,0.0,0.428571429,3,0.9877037115472175
93,68,2017-05-27 10:52:00,0.535211268,0.407894737,0.779569892,0.0,0.571428571,0,0.5573968267394374
94,68,2017-05-28 11:25:00,0.422535211,0.276315789,0.349462366,0.0,0.571428571,3,0.9649906471891823
95,68,2017-05-29 12:49:00,0.042253520999999995,0.414473684,0.516129032,0.0,0.14285714300000002,3,0.9994965191775221
97,68,2017-05-30 07:39:00,0.22535211300000002,0.069078947,0.27688172,0.0,0.28571428600000004,3,0.9883702350959105
103,68,2017-06-01 09:13:00,0.22535211300000002,0.348684211,0.333333333,0.14285714300000002,0.28571428600000004,2,0.8380288771729387
113,68,2017-06-02 07:53:00,0.267605634,0.082236842,0.08870967699999999,0.0,0.428571429,3,0.982427555673893
123,68,2017-06-03 12:00:00,0.15492957699999998,0.7565789470000001,0.284946237,0.0,0.28571428600000004,3,0.9982837085164419
124,68,2017-06-04 11:26:00,0.12676056300000002,0.37828947399999996,0.494623656,0.047619048,0.28571428600000004,3,0.7981640737375187
125,68,2017-06-05 07:48:00,0.112676056,0.0,0.129032258,0.0,0.28571428600000004,3,0.5406520188758679
126,68,2017-06-06 07:41:00,0.19718309899999997,0.427631579,0.529569892,0.19047619,0.28571428600000004,0,0.9951262249769804
127,68,2017-06-07 07:43:00,0.507042254,0.259868421,0.709677419,0.0,1.0,0,0.9991698654755293
128,68,2017-06-08 06:50:00,0.61971831,0.230263158,0.594086022,0.14285714300000002,0.7142857140000001,0,0.9999999793848249
104,68,2017-06-10 12:46:00,0.49295774600000003,0.608552632,0.795698925,0.0,0.7142857140000001,0,0.9605405225213351
105,68,2017-06-11 11:20:00,0.14084507,0.167763158,0.543010753,0.0,0.28571428600000004,3,0.9988991588969471
106,68,2017-06-13 07:41:00,0.352112676,0.151315789,0.569892473,0.0,0.571428571,3,0.985928092622417
107,68,2017-06-14 07:46:00,0.183098592,0.164473684,0.327956989,0.0,0.28571428600000004,3,0.9869671532300678
108,68,2017-06-15 07:44:00,0.366197183,0.134813596,0.271550179,0.19047619,0.571428571,2,0.7651731024705661
109,68,2017-06-16 07:23:00,0.366197183,0.11842105300000001,0.596774194,0.0,0.428571429,3,0.9901548771957791
110,68,2017-06-17 12:16:00,0.29577464800000003,0.648026316,0.440860215,0.0,0.428571429,3,0.99097958313449
111,68,2017-06-18 12:17:00,0.267605634,0.384868421,0.432795699,0.0,0.428571429,3,0.998894457386618
112,68,2017-06-19 07:46:00,0.19718309899999997,0.174342105,0.126344086,0.428571429,0.14285714300000002,2,0.9999999878642712
114,68,2017-06-20 07:44:00,0.478873239,0.256578947,0.24193548399999998,0.666666667,0.428571429,2,0.9999880976353733
115,68,2017-06-21 07:48:00,0.19718309899999997,0.14144736800000002,0.18279569899999998,0.0,0.28571428600000004,3,0.7840397868525347
116,68,2017-06-22 07:46:00,0.23943662,0.190789474,0.494623656,0.047619048,0.428571429,3,0.7825181330212982
117,68,2017-06-23 05:55:00,0.563380282,0.273026316,0.413978495,1.0,0.28571428600000004,2,0.9999999981363885
118,68,2017-06-24 11:59:00,0.38028169,0.427631579,0.897849462,0.0,0.571428571,0,0.6779507766718585
119,68,2017-06-25 11:26:00,0.309859155,0.37171052600000004,0.717741935,0.23809523800000001,0.571428571,0,0.9999902465196318
120,68,2017-06-26 07:41:00,0.183098592,0.111842105,0.112903226,0.0,0.14285714300000002,1,0.8655361374948285
121,68,2017-06-27 07:49:00,0.281690141,0.059210526,0.39247311799999995,0.0,0.28571428600000004,3,0.9949196556368807
122,68,2017-06-28 07:27:00,0.5915492960000001,0.098684211,0.516129032,0.0,0.28571428600000004,3,0.9652156341881627
