,AIC,BIC,Log_Likelihood,activity,n_states,user
34,-238.77040179450995,137.5901177317777,164.38520089725498,physicalactivity_soft_time,9,66
35,-218.78294648312334,241.21324404900605,164.39147324156167,physicalactivity_soft_time,10,66
36,-241.8471491273089,-216.7564478255564,123.92357456365446,walk_distance,2,66
37,-270.3596758263147,-220.17827322280965,141.17983791315734,walk_distance,3,66
38,-270.029510134188,-186.39383912834631,145.014755067094,walk_distance,4,66
39,-286.7579083422416,-161.30440183347903,158.3789541711208,walk_distance,5,66
40,-279.5295813307111,-103.89467221844353,160.76479066535555,walk_distance,6,66
41,-276.7583456523533,-42.578466835996494,166.37917282617664,walk_distance,7,66
42,-267.57198590991214,33.51642971111795,169.78599295495607,walk_distance,8,66
43,-267.6528987852017,108.70762074108592,178.82644939260086,walk_distance,9,66
44,-246.30512721152246,213.69106332060693,178.15256360576123,walk_distance,10,66
45,-248.39751455699133,-223.3068132552388,127.19875727849566,walk_steps,2,66
46,-274.7008924209815,-224.51948981747648,143.35044621049076,walk_steps,3,66
47,-290.33049904742455,-206.69482804158287,155.16524952371228,walk_steps,4,66
48,-292.6285831950105,-167.17507668624793,161.31429159750525,walk_steps,5,66
49,-284.0973358479459,-108.46242673567832,163.04866792397294,walk_steps,6,66
50,-284.59087909575067,-50.411000279393875,170.29543954787533,walk_steps,7,66
51,-277.2073923459096,23.88102327512047,174.6036961729548,walk_steps,8,66
52,-258.3451754088802,118.01534411740744,174.1725877044401,walk_steps,9,66
53,-252.61499837613627,207.38119215599312,181.30749918806814,walk_steps,10,66
54,-139.93617481498862,-116.24361547271961,72.96808740749431,sleep_awake_time,2,66
55,-144.04917370007698,-96.66405501553896,78.02458685003849,sleep_awake_time,3,66
56,-154.15473909256323,-75.17954128499986,87.07736954628162,sleep_awake_time,4,66
57,-149.32932424415463,-30.866527532809584,89.66466212207732,sleep_awake_time,5,66
58,-151.03371955918234,14.81419583670072,96.51685977959117,sleep_awake_time,6,66
59,-151.40803796589142,69.722515895286,103.70401898294571,sleep_awake_time,7,66
60,-139.84468499570946,144.46602711151868,105.92234249785473,sleep_awake_time,8,66
61,-134.18136918052093,221.20702095351422,112.09068459026047,sleep_awake_time,9,66
62,-130.38480301759577,303.97878492400275,120.19240150879789,sleep_awake_time,10,66
63,-61.86582509626825,-38.173265753999246,33.93291254813413,sleep_deep_time,2,66
64,-65.32486767299078,-17.939748988452756,38.66243383649539,sleep_deep_time,3,66
65,-63.58130203628312,15.393895771280256,41.79065101814156,sleep_deep_time,4,66
66,-63.775078738002506,54.687717973342544,46.88753936900125,sleep_deep_time,5,66
67,-66.92985289803815,98.91806249784491,54.464926449019075,sleep_deep_time,6,66
68,-65.11513660395009,156.01541725722734,60.557568301975046,sleep_deep_time,7,66
69,-64.44663299324728,219.86407911398086,68.22331649662364,sleep_deep_time,8,66
70,-59.052787664562004,296.33560246947314,74.526393832281,sleep_deep_time,9,66
71,-38.470738112040976,395.8928498295576,74.23536905602049,sleep_deep_time,10,66
72,-61.00447712620091,-37.311917783931904,33.502238563100455,sleep_light_time,2,66
73,-69.9797107490446,-22.59459206450658,40.9898553745223,sleep_light_time,3,66
74,-66.27302872647378,12.702169081089593,43.13651436323689,sleep_light_time,4,66
75,-66.30231042895328,52.16048628239177,48.15115521447664,sleep_light_time,5,66
